NGO;Acronym;Activities.Area;First Presence;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
AMERICAN NUCLEAR SOCIETY;ANS;Science and Research;1976;;;;;;;;;;;;;;;;;;;;2;2;;1;;1;2;2;1;1;1;2;2;1;3;1;5;3;5;4;5;6;3;3;5;;3;3;1;1;2;;2;3;3;
ARAB ATOMIC ENERGY AGENCY;AAEA;Government;1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
ASSOCIATION OF INTERNATIONAL INDUSTRIAL IRRADIATION;AIII;Industry;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;
ATOMIC INDUSTRIAL FORUM, INC;USAIF;Industry;1979;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;
CANADIAN NUCLEAR ASSOCIATION;CNA;Industry;1984;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;?;?;1;?;?;;;;;;;;;;;;;;;;;;1
CONFERENCE OF RADIATION CONTROL PROGRAM DIRECTORS, INC.;CRCPD;Industry;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
CONTRACTORS INTERNATIONAL GROUP ON NUCLEAR LIABILITY;CIGNL;Industry;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;3;;6;6;10;7
COUNCIL ON RADIONUCLIDES AND RADIOPHARMACEUTICALS, INC.;;Industry;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1
ENVIRONMENTALISTS FOR NUCLEAR ENERGY;EFN;Environment;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;
EUROPEAN ATOMIC FORUM;FORATOM;Industry;1961;;;;;4;3;2;2;;1;1;1;1;2;1;;;;;;;;;;3;;;;;;;1;?;?;;?;?;1;;;;;1;;;3;4;2;1;1;;1;1;1;1
EUROPEAN CONFEDERATION OF AGRICULTURE;;Industry;1960;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EUROPEAN GROUPING OF THE ELECTRICITY SUPPLY INDUSTRY;EEIG;Industry;1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
EUROPEAN INDUSTRIAL FORUM;;Industry;1971;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EUROPEAN NUCLEAR SOCIETY;ENS;Science and Research;1977;;;;;;;;;;;;;;;;;;;;;1;1;;1;2;2;2;3;3;4;3;2;3;?;;?;?;;;;;;1;7;;;;1;;2;;1;1;1;1
EUROPEAN PHYSICAL SOCIETY;EPS;Science and Research;1991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;1;;;;;1;;;;;;;
FRIENDS' WORLD-COMMITTEE FOR CONSULTATION;;Social;1958;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GERMAN ATOMIC FORUM;DATF;Industry;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;1;;1;2;;;1;;
IBERO-AMERICAN FORUM OF RADIOLOGICAL AND NUCLEAR REGULATORY AGENCIES;;Government;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1
INSTITUTE OF NUCLEAR MATERIALS MANAGEMENT;INMM;Science and Research;1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;2;4;2;2;;2;3;2;2
INTERNATIONAL AIR TRANSPORT ASSOCIATION;;Industry;;;;;;?;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INTERNATIONAL CARGO HANDLING COORDINATION ASSOCIATION;;Industry;;;;;?;?;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INTERNATIONAL CHAMBER OF COMERCE;ICC;Industry;1958;;4;3;3;3;3;3;3;3;3;2;2;2;2;2;;2;;;1;;2;;;;;;;;;1;?;?;?;;?;?;;;;;;;;;;;;;;;;;;
INTERNATIONAL COMMISSION ON RADIOLOGICAL PROTECTION;ICRP;Science and Research;1958;;1;1;;?;;;;;;;;;;;;;;;;;;;;;;;;;;1;?;?;?;;?;?;;;;;;;;;;1;1;;;;;1;1;
INTERNATIONAL COMMISSION ON RADIOLOGICAL UNITS AND MEASURES;;Science and Research;;;;;;?;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INTERNATIONAL CONFEDERATION OF FREE TRADE UNIONS;ICFTU;Social;1958;;1;1;1;1;1;1;1;6;1;;1;1;;;1;1;;2;;2;;;;2;;1;;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;1;1;1;;;;;
INTERNATIONAL CO-OPERATIVE ALLIANCE;;Industry;1958;;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INTERNATIONAL COUNCIL OF SCIENTIFIC UNIONS;ICSU;Professional Association;1960;;;;1;?;1;;1;;;;;;;;;;;;;1;1;;1;1;;1;;1;1;?;?;?;?;;?;?;;;;;;;;;;;;;;;;;;
INTERNATIONAL ENERGY AGENCY;IEA;Government;1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;?;;;;;;;;;;;;;;;;;;;;;;;;
INTERNATIONAL FEDERATION FOR INFORMATION AND DOCUMENTATION;FID;Science and Research;1961;;;;;1;?;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
INTERNATIONAL FEDERATION OF CHRISTIAN TRADE UNIONS;;Social;1958;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INTERNATIONAL FEDERATION OF INDUSTRIAL PRODUCERS OF ELECTRICITY FOR OWN CONSUMPTION;FEPACE;Industry;1960;;;;1;2;2;1;3;;2;2;1;1;1;;;;1;1;;2;1;;1;1;1;1;1;1;1;1;1;1;?;;1;?;;;;;;;;;;;;;;;;;;
