Year;Currency;Total Budget;Staff Costs;SC.A;SC.A.1;SC.A.2;SC.A.3;SC.A.4;SC.A.5;SC.A.6;SC.V;SC.V.1;SC.V.2;Public Information Budget;PI:Ext.Rel;PI.Inf.Sys;Verification;Cooperation;Fund;Notes;Source
1997;NLG;88873800;49483600;16161200;;;;;;;33322400;;;4986000;1814900;3171100;59159100;2354300;291627;Staff: Total Personnell resources, Cooperation: Programm A4;C-I/DEC.74
1998;NLG;140797000;75086000;27356300;0;0;0;0;0;0;47729700;;;8221400;2918400;5303000;83328700;4996400;1053541;Staff: Personnel Resources, PI: A3, because this is more consistently available across the data and Inf Sys: A.2.4;C-II/6
1999;NLG;137748000;84032300;28107700;13275800;10313400;2418800;2099700;0;0;55924600;10154500;45770100;8689000;3260800;5428200;77160600;6361000;1253640;;C-III/DEC.16
2000;EUR;60238419;38146398;12623484;1220578;2734480;1166760;3991178;3510488;0;25522914;4977743;20545171;3706705;1482818;2223887;31495296;3132264;1338309;PI: Now Programme 5 and 8, Assistance: Programme 3;C-V/DEC.18
2001;EUR;60238400;38748800;13584200;1106500;2581000;1159000;3981300;3550700;1205700;25164600;4917500;20247100;3668700;1528000;2140700;29546800;3347500;818208;;C-V/DEC.18
2002;EUR;61932600;40573100;12301100;1359000;3103700;1257300;5143700;0;1437400;28272000;5858000;22414000;3900200;1527800;2372400;33012600;3767000;1086614;;C-VI/DEC.17
2003;EUR;68562966;47527201;;;;;;;;;;;4379694;1754109;2625585;35564227;4166950;1169327;SC: now with extra table, so no more need for separate calculations, Inf.Sys. Now part of Programm 7;C-7/DEC.16
2004;EUR;73153390;53861529;;;;;;;;;;;5389054;1946639;3442415;37018326;4775712;556998;;C-9/DEC.14
2005;EUR;75695000;55829877;;;;;;;;;;;5743168;1995215;3747953;38097000;4872868;1218735;Inf.Sys: Information Services Branch;C-9/DEC.14
2006;EUR;75614241;55067504;;;;;;;;;;;5535569;1835681;3699888;37063822;5141988;1223181;;C-10/DEC.5
2007;EUR;75025751;54712725;;;;;;;;;;;5560899;1905060;3655839;37545676;5184448;1321152;;C-11/DEC.11
2008;EUR;75025734;54045835;;;;;;;;;;;4969745;1830980;3138765;37670986;5399001;1391900;;C-12/DEC.4
2009;EUR;74499600;53649600;;;;;;;;;;;5321000;1701800;3619200;37156900;5723300;1399776;;C-13/DEC.5
2010;EUR;74505400;53223000;;;;;;;;;;;5260600;1661200;3599400;37301400;6042200;1403257;;C-14/DEC.8
2011;EUR;74553600;53174900;;;;;;;;;;;5030500;1714700;3315800;37224400;6037800;1426560;;C-16/DEC.12
2012;EUR;70561800;49995500;;;;;;;;;;;5361200;2026600;3334600;33296600;6830800;1507623;;C-16/DEC.12
2013;EUR;69803800;49008000;;;;;;;;;;;5122400;1895700;3226700;32166900;6778900;;Voluntary fund data taken from Annual Reports;C-17/DEC.4
