VariableCode,RegionCode,YearCode,AggValue
rgdpna,ALB,1970,6819.20726902261000000
rgdpna,ALB,1971,7092.03126240091000000
rgdpna,ALB,1972,7376.69896513251000000
rgdpna,ALB,1973,7673.08810029803000000
rgdpna,ALB,1974,7977.75913729996000000
rgdpna,ALB,1975,8301.11418586229000000
rgdpna,ALB,1976,8635.64198704503000000
rgdpna,ALB,1977,8966.30972327727000000
rgdpna,ALB,1978,9352.01180857985000000
rgdpna,ALB,1979,9722.36092204289000000
rgdpna,ALB,1980,10036.51941805800000000
rgdpna,ALB,1981,10613.17583243400000000
rgdpna,ALB,1982,10926.12153568350000000
rgdpna,ALB,1983,11046.84843413470000000
rgdpna,ALB,1984,10908.58578507890000000
rgdpna,ALB,1985,11102.82794571390000000
rgdpna,ALB,1986,11723.99818857490000000
rgdpna,ALB,1987,11631.59827187670000000
rgdpna,ALB,1988,11466.35754494030000000
rgdpna,ALB,1989,12594.71565168580000000
rgdpna,ALB,1990,11338.88612703290000000
rgdpna,ALB,1991,8163.75522320444000000
rgdpna,ALB,1992,7576.00864196797000000
rgdpna,ALB,1993,8303.31862205009000000
rgdpna,ALB,1994,8992.51248505804000000
rgdpna,ALB,1995,10188.50352692810000000
rgdpna,ALB,1996,11115.83472104780000000
rgdpna,ALB,1997,9911.11659030859000000
rgdpna,ALB,1998,10803.98776946330000000
rgdpna,ALB,1999,12262.65245251230000000
rgdpna,ALB,2000,13075.01826785840000000
rgdpna,ALB,2001,14113.19356780600000000
rgdpna,ALB,2002,14710.37297597970000000
rgdpna,ALB,2003,15554.72948819770000000
rgdpna,ALB,2004,16437.18438266250000000
rgdpna,ALB,2005,17383.87331356530000000
rgdpna,ALB,2006,18327.99341948960000000
rgdpna,ALB,2007,19410.31939384690000000
rgdpna,ALB,2008,20873.13293419740000000
rgdpna,ALB,2009,21562.45644069710000000
rgdpna,ALB,2010,22412.85628987980000000
rgdpna,ALB,2011,22861.11341567930000000
rgdpna,ARM,1990,11324.17158729960000000
rgdpna,ARM,1991,10001.64881470470000000
rgdpna,ARM,1992,5825.32187160980000000
rgdpna,ARM,1993,5312.06247347660000000
rgdpna,ARM,1994,5595.04559366322000000
rgdpna,ARM,1995,5980.61067931775000000
rgdpna,ARM,1996,6333.47172869166000000
rgdpna,ARM,1997,6543.80679520890000000
rgdpna,ARM,1998,7024.13635050785000000
rgdpna,ARM,1999,7252.78829763025000000
rgdpna,ARM,2000,7680.38553203853000000
rgdpna,ARM,2001,8414.37783990418000000
rgdpna,ARM,2002,9680.77398834255000000
rgdpna,ARM,2003,11040.03232577550000000
rgdpna,ARM,2004,12195.68504300580000000
rgdpna,ARM,2005,13886.70898437500000000
rgdpna,ARM,2006,15719.47414668560000000
rgdpna,ARM,2007,17880.77682297690000000
rgdpna,ARM,2008,19123.07538122750000000
rgdpna,ARM,2009,16417.16238743260000000
rgdpna,ARM,2010,16780.82046011370000000
rgdpna,ARM,2011,17567.86515585980000000
rgdpna,BDI,2007,3878.81801681013000000
rgdpna,BDI,2008,4405.89356466634000000
rgdpna,BDI,2009,4560.09983942967000000
rgdpna,BDI,2010,4737.94373316742000000
rgdpna,BDI,2011,4936.93736995974000000
rgdpna,BEL,1950,65040.17321302360000000
rgdpna,BEL,1951,67486.79552763400000000
rgdpna,BEL,1952,69128.80456223660000000
rgdpna,BEL,1953,71412.00393371790000000
rgdpna,BEL,1954,74560.30544809870000000
rgdpna,BEL,1955,77209.42584937080000000
rgdpna,BEL,1956,79641.03432200120000000
rgdpna,BEL,1957,81189.74871294360000000
rgdpna,BEL,1958,80758.93861323540000000
rgdpna,BEL,1959,83599.89685385220000000
rgdpna,BEL,1960,88377.03941041300000000
rgdpna,BEL,1961,92851.82621600350000000
rgdpna,BEL,1962,97774.09170215310000000
rgdpna,BEL,1963,102025.13916746400000000
rgdpna,BEL,1964,109184.79805640900000000
rgdpna,BEL,1965,112988.36684116100000000
rgdpna,BEL,1966,116344.45694535400000000
rgdpna,BEL,1967,120819.24375094400000000
rgdpna,BEL,1968,126412.72725793200000000
rgdpna,BEL,1969,134243.60416771600000000
rgdpna,BEL,1970,143193.17777889700000000
rgdpna,BEL,1971,148567.24834131000000000
rgdpna,BEL,1972,156375.41796728900000000
rgdpna,BEL,1973,165949.23329427200000000
rgdpna,BEL,1974,172918.49413379300000000
rgdpna,BEL,1975,170623.86525845000000000
rgdpna,BEL,1976,180268.80745146900000000
rgdpna,BEL,1977,181397.53440973500000000
rgdpna,BEL,1978,186552.69391250700000000
rgdpna,BEL,1979,190920.00068070500000000
rgdpna,BEL,1980,199472.26444226100000000
rgdpna,BEL,1981,198915.17108266000000000
rgdpna,BEL,1982,200098.69038138100000000
rgdpna,BEL,1983,200722.68359808700000000
rgdpna,BEL,1984,205673.27305894800000000
rgdpna,BEL,1985,209070.56946365200000000
rgdpna,BEL,1986,212881.42862305700000000
rgdpna,BEL,1987,217791.87816924200000000
rgdpna,BEL,1988,228078.64354306100000000
rgdpna,BEL,1989,235991.07215322700000000
rgdpna,BEL,1990,243395.06184588600000000
rgdpna,BEL,1991,247856.67416545800000000
rgdpna,BEL,1992,251650.50427105900000000
rgdpna,BEL,1993,249229.94578772600000000
rgdpna,BEL,1994,257272.52502951200000000
rgdpna,BEL,1995,263407.85015030200000000
rgdpna,BEL,1996,267160.03235505200000000
rgdpna,BEL,1997,277138.76965745400000000
rgdpna,BEL,1998,282484.54276013000000000
rgdpna,BEL,1999,292483.83621047900000000
rgdpna,BEL,2000,303217.17991617500000000
rgdpna,BEL,2001,305666.39600032200000000
rgdpna,BEL,2002,309822.45756850700000000
rgdpna,BEL,2003,312322.08515843100000000
rgdpna,BEL,2004,322548.57298648800000000
rgdpna,BEL,2005,328196.91301003100000000
rgdpna,BEL,2006,336947.76307535000000000
rgdpna,BEL,2007,346662.79436599200000000
rgdpna,BEL,2008,350078.05151743800000000
rgdpna,BEL,2009,340358.61533736100000000
rgdpna,BEL,2010,348597.61731942200000000
rgdpna,BEL,2011,354817.12459604200000000
rgdpna,BFA,1959,2821.75044603324000000
rgdpna,BFA,1960,2834.03726648785000000
rgdpna,BFA,1961,2463.39488854828000000
rgdpna,BFA,1962,2580.83726083719000000
rgdpna,BFA,1963,2532.24413777231000000
rgdpna,BFA,1964,2577.10114137677000000
rgdpna,BFA,1965,2538.54625320030000000
rgdpna,BFA,1966,2530.93861726830000000
rgdpna,BFA,1967,2748.21153669581000000
rgdpna,BFA,1968,2868.18454983332000000
rgdpna,BFA,1969,2914.53406323764000000
rgdpna,BFA,1970,2960.50436025485000000
rgdpna,BFA,1971,2947.43381125672000000
rgdpna,BFA,1972,3608.72569613754000000
rgdpna,BFA,1973,3421.69321477818000000
rgdpna,BFA,1974,3610.36219461526000000
rgdpna,BFA,1975,3696.35697393823000000
rgdpna,BFA,1976,3659.71568220494000000
rgdpna,BFA,1977,3918.43476004465000000
rgdpna,BFA,1978,4376.08990875487000000
rgdpna,BFA,1979,4404.08762864873000000
rgdpna,BFA,1980,4340.12694381091000000
rgdpna,BFA,1981,4640.57039739302000000
rgdpna,BFA,1982,4706.68542482210000000
rgdpna,BFA,1983,4481.09081999806000000
rgdpna,BFA,1984,4385.83394207837000000
rgdpna,BFA,1985,4759.39142712542000000
rgdpna,BFA,1986,5137.75717944703000000
rgdpna,BFA,1987,5125.53606341628000000
rgdpna,BFA,1988,5422.75360529372000000
rgdpna,BFA,1989,5539.58747454766000000
rgdpna,BFA,1990,5505.85719430280000000
rgdpna,BFA,1991,6005.45641765426000000
rgdpna,BFA,1992,6019.14406760869000000
rgdpna,BFA,1993,6227.88072941869000000
rgdpna,BFA,1994,6309.51778450408000000
rgdpna,BFA,1995,6670.28512974141000000
rgdpna,BFA,1996,7405.00047130621000000
rgdpna,BFA,1997,7872.76208397026000000
rgdpna,BFA,1998,8448.08102373366000000
rgdpna,BFA,1999,8975.38335476864000000
rgdpna,BFA,2000,9144.88112580672000000
rgdpna,BFA,2001,9749.66921972117000000
rgdpna,BFA,2002,10174.06879416650000000
rgdpna,BFA,2003,10967.89989025750000000
rgdpna,BFA,2004,11459.09203715760000000
rgdpna,BFA,2005,12451.66406250000000000
rgdpna,BFA,2006,13230.28474388420000000
rgdpna,BFA,2007,13774.23437138830000000
rgdpna,BFA,2008,14573.14066261040000000
rgdpna,BFA,2009,15004.79025727910000000
rgdpna,BFA,2010,16196.17060370570000000
rgdpna,BFA,2011,17018.93607037340000000
rgdpna,BGR,1970,27408.58417842510000000
rgdpna,BGR,1971,29298.83136342940000000
rgdpna,BGR,1972,31543.49989531170000000
rgdpna,BGR,1973,34118.96168494190000000
rgdpna,BGR,1974,36694.42347291790000000
rgdpna,BGR,1975,39931.47177804400000000
rgdpna,BGR,1976,42530.56165680450000000
rgdpna,BGR,1977,45200.53580460960000000
rgdpna,BGR,1978,47728.74141432530000000
rgdpna,BGR,1979,50894.90544875240000000
rgdpna,BGR,1980,53801.16049447630000000
rgdpna,BGR,1981,56437.50431201230000000
rgdpna,BGR,1982,57755.07486621770000000
rgdpna,BGR,1983,59736.25078415990000000
rgdpna,BGR,1984,61765.15882172300000000
rgdpna,BGR,1985,63422.59020695200000000
rgdpna,BGR,1986,66091.16045049380000000
rgdpna,BGR,1987,70092.65891492140000000
rgdpna,BGR,1988,77764.08445326990000000
rgdpna,BGR,1989,75205.73784225950000000
rgdpna,BGR,1990,68348.94705326490000000
rgdpna,BGR,1991,62576.63568850260000000
rgdpna,BGR,1992,58038.46819684320000000
rgdpna,BGR,1993,57179.30050393400000000
rgdpna,BGR,1994,58218.89284920690000000
rgdpna,BGR,1995,59884.08753489400000000
rgdpna,BGR,1996,54256.70216728950000000
rgdpna,BGR,1997,51231.43592272010000000
rgdpna,BGR,1998,53284.20820034130000000
rgdpna,BGR,1999,54510.73053170080000000
rgdpna,BGR,2000,57631.99922218380000000
rgdpna,BGR,2001,60024.55092668490000000
rgdpna,BGR,2002,62815.81198294140000000
rgdpna,BGR,2003,66274.05386172770000000
rgdpna,BGR,2004,70746.42153551170000000
rgdpna,BGR,2005,75244.69696682040000000
rgdpna,BGR,2006,80143.59790618700000000
rgdpna,BGR,2007,85311.44392250660000000
rgdpna,BGR,2008,90592.76557152800000000
rgdpna,BGR,2009,85631.57653779550000000
rgdpna,BGR,2010,85967.91324948690000000
rgdpna,BGR,2011,87402.49398125340000000
rgdpna,BHR,1970,4776.28835360189000000
rgdpna,BHR,1971,4853.05012896687000000
rgdpna,BHR,1972,5390.38257246784000000
rgdpna,BHR,1973,6140.94216739804000000
rgdpna,BHR,1974,6661.21643623330000000
rgdpna,BHR,1975,6072.70947936591000000
