"";"cases";"TALK.Part";"TALK.Trans";"DEC.Part";"DEC.Trans";"ACT.Part.1";"ACT.Part.2";"ACT.Part.4";"ACT.Trans";"RB.Budget";"RB.Inequality";"RB.Complexity";"NB.visibility.all";"NB.visibility.hl";"NB.gov.depth";"NB.dem.mem";"NB.og.norm";"TALKPART";"TALKTRANS";"TALK";"DECPART";"DECTRANS";"DECISION";"ACTPART1";"ACTPART2";"ACTPART4";"ACTPART";"ACTTRANS"
"IAEA1957";"IAEA1957";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"IAEA1958";"IAEA1958";1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0
"IAEA1959";"IAEA1959";1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0
"IAEA1960";"IAEA1960";1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0
"IAEA1961";"IAEA1961";1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1
"IAEA1962";"IAEA1962";0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
"IAEA1963";"IAEA1963";0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1
"IAEA1964";"IAEA1964";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"IAEA1965";"IAEA1965";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"IAEA1966";"IAEA1966";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"IAEA1967";"IAEA1967";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"IAEA1968";"IAEA1968";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"IAEA1969";"IAEA1969";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"IAEA1970";"IAEA1970";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"IAEA1971";"IAEA1971";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"IAEA1972";"IAEA1972";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"IAEA1973";"IAEA1973";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"IAEA1974";"IAEA1974";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"IAEA1975";"IAEA1975";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"IAEA1976";"IAEA1976";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"IAEA1977";"IAEA1977";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"IAEA1978";"IAEA1978";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
