State;Year;Polity IV;Democracy;Statement;Relevant?;Code / Topic
BEL;2010;8;1;84. The European Union had always been a strong supporter of the technical cooperation programme, to which it was one of the main contributors. Addressing the global challenges of hunger, disease, poverty and water resource management and creating a cleaner and safer environment was of particular significance to developing countries, and the Agency’s efforts in those areas were valued. While it was important to ensure fair access to technical cooperation funding, there was a great need for technical assistance in the least developed countries. The commitment of a beneficiary country was a key factor in achieving a successful outcome in technical cooperation projects. The European Union underlined the importance of technical cooperation activities that contributed to achieving and sustaining solid nuclear and radiation safety and security infrastructures at all levels. Technical cooperation management and project implementation needed to become more efficient, effective and accountable, for the benefit of all Member States. The European Union supported transparent project management based on verifiable performance indicators and believed that regular and transparent interaction between the Secretariat, Member State representatives and national institutions would help accomplish clear project objectives and achieve sustainable results. In order to maximize the socio-economic impact of the technical cooperation programme, it was crucial for the Agency to further develop partnerships with other organizations, where appropriate, taking into account the fact that it did not have the leading mandate in every field in which it was active;1;TC
BEL;2010;8;1;85. The Medium Term Strategy for 2012–2017 should reflect those areas where the Agency had a leading mandate and should focus on strategic goals, objectives and activities to provide practical guidance for formulating major programmes. It also needed to include specific targets for efficiency, effectiveness and transparency with clear performance indicators.;1;ADM
CAN;2010;10;1;127. He applauded the Director General’s work to broaden understanding of the Agency’s work outside the area of non-proliferation. Canada remained a strongly supporter of the Agency’s technical cooperation activities, which made a positive contribution to global peace, security and prosperity, and it was a major contributor to the TCF. He commended the efforts of the Department of Technical Cooperation to improve transparency, accountability and results-based management and encouraged it to continue those efforts.;1;TC
MYS;2010;6;0;129. Mr MOHAMAD (Malaysia) said that technical cooperation should be based on Member States’ needs and requests, be formulated in accordance with established guidelines and, given that countries’ capabilities, needs and priorities varied, should be in line with their respective legitimate national development requirements. In addition, regional and interregional projects should be formulated with a high level of transparency in consultation with Member States.;1;TC
AFG;2010;NA;0;199. Mr HAKIMI (Afghanistan) said that his Government regarded the work of the Agency as playing a key role in helping to enhance global scientific and technical cooperation and ensure nuclear safety and security. It appreciated the fact that the Agency carried out its mandate with independence, objectivity and transparency. Securing energy supplies while counteracting climate change would remain high on the organization’s agenda, as would joint efforts on nutrition, potable water and health care. He thanked the Secretariat for publishing the Programme Performance Report for 2008–2009 (GOV/2010/40) and congratulated the staff of the Agency on the favourable results that had been accomplished in that biennium. It was important to ensure that sufficient resources continued to be allocated for Member States — and especially for developing countries — interested in introducing nuclear technology. His country continued to support the Agency’s work and was interested in increasing further its level of cooperation with it.;1;ADM
NLD;2010;10;1;119. As a strong supporter of the Agency’s technical cooperation activities, the Netherlands had pledged its full target share to the TCF for 2011. Through its technical cooperation programme, the Agency could make a real contribution to such global issues as health, food, water and the environment, and help achieve sustainable national and international development goals, including the Millennium Development Goals. However, with a view to making the most of the funds available, the management and transparency of the programme needed to be improved and brought into line with established United Nations standards. Also, cooperation with relevant international organizations should be intensified. The least developed countries needed to be better represented in the technical cooperation programme as they had the greatest socio-economic development needs. In addition, the programme’s statutory and policy framework for safety, security and safeguards should be fully implemented to prevent unnecessary risk to the health of the public, workers and patients, or to the environment. The danger of material ending up in the wrong hands also had to be addressed.;1;TC
KWT;2010;-7;0;133. Kuwait reaffirmed the inalienable right of all States without distinction to possess and develop nuclear technology for peaceful purposes. In March 2009 it had pledged a sum of $10 million for the establishment of a nuclear fuel bank under the Agency’s auspices. It supported the continuation of a transparent and constructive dialogue aimed at the development of a multilateral approach to the nuclear fuel cycle and the establishment of supply assurance mechanisms, including a nuclear fuel bank that would serve as a last resort for countries wishing to benefit from such fuel. At the same time, Kuwait called on the Director General and the Secretariat to continue studying the proposal and to assist in reconciling different views by submitting a further paper on the matter.;1;ADM
LBN;2010;7;1;138. Lebanon was deeply grateful to the Agency for its assistance under the technical cooperation programme and for the transparency and assiduity it had displayed in seeking the best possible results. His country was, for its part, fully committed to compliance with the Agency’s standards and guidelines.;1;TC
IRL;2010;10;1;192. As the burden on the Agency increased in the years to come, it was incumbent on Member States to ensure that it had the political, technical and financial support it needed to carry out its responsibilities. It was equally incumbent on the Agency to improve the efficiency, efficacy, cost-effectiveness and transparency of its structures and practices.;1;ADM
CUB;2010;-7;0;34. Cuba endorsed the statement made recently to the Board of Governors on behalf of the NAM and the Group of 77 and China on the issue of nuclear fuel supply assurances 2 . Any analysis of that crucial matter should be inclusive and transparent and related decisions should be agreed by consensus. Her country rejected any attempt to use the supply of nuclear fuel as a means of political or economic coercion, as a means of discrimination or as a mechanism for preserving the monopoly of a few .;1;ADM
CUB;2010;-7;0;37. The climate of lack of confidence that had arisen with respect to the Agency’s verification activities in the Islamic Republic of Iran and the Syrian Arab Republic, as a result of geopolitical interests and double standards, was a cause for deep concern. Verification activities should, above all, respect the sovereignty and national interests of the Member States, and Agency inspectors and staff should act with impartiality and professionalism and not be subject to any pressure. She called on the Secretariat to continue its efforts to foster a climate of understanding, impartiality, confidence and transparency in which a solution could be found once and for all to the safeguards issues under consideration by the Board of Governors and the General Conference. Cuba supported the Director General’s efforts to facilitate the supply of fuel for the Tehran research reactor, based on the agreement signed by Brazil and Turkey with the Islamic Republic of Iran, and it urged the Vienna Group to respond positively to that proposal. It also supported denuclearization of the Korean Peninsula through a negotiated solution. The elimination and total prohibition of nuclear weapons, and the threat they posed, was the only guarantee for human survival.;1;SG
AUT;2006;10;1;19. It was worrying to learn from the Nuclear Safety Review for the Year 2005, which her country had welcomed, that avoidable nuclear incidents continued to occur. The Agency should strengthen its activities to ensure the utmost transparency and exchange of information among all Member States.;1;INSTR
NGA;2006;4;0;9. He welcomed the special event on assurance of supply and non-proliferation which was being held during the General Conference. The initiatives in that area seemed to be enjoying growing support among Member States and Nigeria was prepared to join the discussions on the understanding that the legal and technical implications would be explored in a transparent manner.;1;ADM
CUB;2006;7;0;21. Cuba shared the frustration of a large number of countries regarding the lack of progress with respect to disarmament and the prevailing tendency to focus efforts on non-proliferation. Disarmament and non-proliferation had received special attention at the recent 14th summit of Heads of State or Government of the NAM held in Havana. The documents from that meeting would be distributed shortly but he wished to highlight some of the views expressed on disarmament and the Agency. The NAM Heads of State or Government had reaffirmed their positions of principle on nuclear disarmament, which continued to be NAM’s highest priority, and the related issue of nuclear non-proliferation. They had emphasized their concern regarding the threat to humanity posed by the existence of nuclear weapons, their possible use, or the threat of their use. They had expressed profound concern over the slow progress towards nuclear disarmament and the lack of progress by the nuclear-weapon States toward eliminating their arsenals. They had reaffirmed the inalienable right of developing countries to develop research, production and use of nuclear energy for peaceful purposes without discrimination and had expressed concern over continuing excessive restrictions on the export of material, equipment and technology for peaceful purposes to developing countries. They had emphasized that proliferation concerns would be better met through multilateral, universal, comprehensive and non-discriminatory agreements, that non-proliferation agreements should be transparent and open to all States, and that no restriction should be imposed on access to material, equipment and technology for peaceful purposes required by developing countries to further their development. They had rejected the attempts of any Member State to use the Agency’s technical cooperation programme as a political tool in violation of the Agency’s Statute. They had emphasized the positive role played by NAM members in the Agency and had noted the need for all members to respect the Statute. They had stressed that the Agency’s activities should not be subjected to any pressure or improper interference, especially in the area of verification, that could jeopardize the organization’s efficiency and credibility. They had recognized that the Agency was the only competent authority to verify compliance with obligations entered into under safeguards agreements and had reaffirmed the need to make a clear distinction between such legal obligations and voluntary commitments. Finally they had congratulated the Agency and its Director General on receiving the Nobel Peace Prize in 2005 and had expressed their full confidence in the impartiality and professionalism of the Agency. Following the summit, Cuba was taking over the presidency of NAM for the coming 3 years and, consequently, would be coordinating the work of the Vienna Chapter. He thanked Malaysia for its leadership of NAM in recent years.;1;SG
IDN;2006;8;1;35. His country appreciated the work undertaken by the Agency in the area of nuclear safety and security, and safeguards and verification to ensure non-proliferation. However, proliferation concerns and safeguard issues were best addressed through multilaterally negotiated, universal, comprehensive and non-discriminatory agreements. Non-proliferation control arrangements should be transparent and open to the participation of all States and should not impose restrictions on access to material, equipment and technology. As a party to the NPT and a safeguards agreement and additional protocol, Indonesia supported the inalienable right of all States to develop research, production and use of nuclear energy for peaceful purposes without discrimination and in conformity with the NPT. Nothing in that Treaty should be interpreted as affecting that right, which constituted one of its fundamental objectives. Each country’s decision in that regard should be respected, without jeopardizing its policies, international cooperation agreements, arrangements for peaceful uses of nuclear energy or its fuel cycle policies.;1;SG
MAR;2006;-6;0;69. Morocco had supported all initiatives to combat the proliferation of weapons of mass destruction, had encouraged all efforts to achieve disarmament and the establishment of nuclear-weapon-free zones and had promoted the introduction of a credible Agency verification regime. It therefore welcomed the conclusion of new safeguards agreements and additional protocols that strengthened the universality of the safeguards system. In cooperation with the Agency, it had organized a seminar on the additional protocol in December 2005 for African officials responsible for safeguards-related issues. The credibility of the safeguards system depended both on its capacity to detect illicit activities and on its universal, transparent and just implementation. Therefore, ways had to be found to encourage States that had not yet done so to adhere to the safeguards system and the additional protocol.;1;SG
SYR;2006;-7;0;63. Participants in the Advisory Committee on Safeguards and Verification within the Framework of the IAEA Statute should show flexibility, transparency and objectivity in adopting recommendations and should avoid interfering with the aspirations of developing countries, in particular to use nuclear technology for peaceful purposes. As the Committee was advisory, its recommendations should be adopted by consensus. Developing countries were being denied access to nuclear technology on the pretext of non-proliferation. While his country strongly supported the non-proliferation regime, some countries could not be allowed to monopolize nuclear knowledge and technology at the expense of others.;1;SG
CAN;2006;10;1;117. Her country attached considerable importance to an effective and efficient safeguards system that was responsive to new verification challenges and continued to provide the basis for credible safeguards conclusions. It supported a system that utilized a State-level perspective and was both transparent in its processes and non-discriminatory in its implementation. Canada looked forward to continuing to work with the Agency to strengthen the safeguards system in general, and to implement an effective and efficient State-level integrated safeguards approach in Canada.;1;INSTR
BEL;2006;10;1;84. Events had unfortunately demonstrated that comprehensive safeguards alone could not provide conclusive proof of the absence of undeclared nuclear activities. The additional protocol, which should be concluded by all States, enabled the Secretariat to verify State declarations fully. In the event of any serious doubt about whether a State was meeting its commitments, that State should automatically make every effort to cooperate transparently with the Agency to resolve the matter as quickly as possible.;1;SG
SGP;2006;-2;0;26. In defending the right of States to use nuclear energy for peaceful purposes, the Agency also had to ensure that that right was exercised in compliance with States’ non-proliferation obligations under Articles I, II and III of the NPT and Agency safeguards, and with the utmost transparency. The safeguards system had to remain able to respond to new challenges in a credible and effective manner and the Agency’s verification regime should continue to play a central role in providing the necessary safeguards assurances. Singapore was working to put in place the instruments required to ratify the additional protocol, which it had signed in September 2005, and to modify its SQP in the near future. It advocated the universalization of comprehensive safeguards agreements and additional protocols and urged Member States that had yet to undertake such commitments to do so at the earliest opportunity.;1;ADM
DNK;2002;10;1;132. Recruitment and management of the Agency’s human resources were important issues. He expressed concern about emerging difficulties in the process of staff recruitment at the higher levels and stressed the need for increased transparency in that regard.;1;ADM
DNK;2002;10;1;133. As announced at the meeting of the Board of Governors in March 2002, the European Union proposed to introduce a single euro-based currency system with respect to the Agency taking effect from the 2004-2005 biennium. That would improve transparency, effectiveness and efficiency in the Agency’s management of its financial resources. The European Union looked forward to the Secretariat’s comprehensive report on the matter expected later in 2002 with a view to agreement on a proposal during the first half of 2003.;1;ADM
