"","Year","WORKSHOP","SEMINAR","TRAINING","MEETING","COURSE","PANEL","SYMPOSIA","NETWORK","GROUP_SCIENCE","GROUP_TRAINING","GROUP_ADVICE"
"1997.txt",1997,1,4,6,1,10,0,0,0,4,17,2
"1998.txt",1998,3,9,4,4,9,0,5,2,14,16,11
"1999.txt",1999,7,8,22,8,25,0,3,3,11,54,15
"2000.txt",2000,18,3,22,12,21,0,0,5,3,61,19
"2001.txt",2001,13,2,10,12,8,1,1,2,4,31,17
"2002.txt",2002,6,3,12,9,17,0,0,1,3,35,12
"2003.txt",2003,9,3,6,8,6,0,0,6,3,21,16
"2004.txt",2004,12,1,9,7,9,0,0,4,1,30,14
"2005.txt",2005,13,1,11,5,10,0,0,0,1,34,8
"2006.txt",2006,12,3,7,7,14,0,0,0,3,33,9
"2007.txt",2007,11,0,9,4,9,0,0,0,0,29,6
"2008.txt",2008,13,2,12,9,11,0,0,0,2,36,11
"2009.txt",2009,16,3,15,17,19,0,0,1,3,50,20
"2010.txt",2010,12,4,20,12,27,0,0,1,4,59,15
"2011.txt",2011,11,9,14,8,14,0,0,1,9,39,11
