"","IO","Year","Decade","TALK.Part","TALK.Trans","DEC.Part","DEC.Trans","ACT.Part.1","ACT.Part.2","ACT.Part.3","ACT.Part.4","ACT.Trans.1","RB.Budget.All","RB.Budget.Staff","RB.Inequality","RB.Complexity","NB.visibility.1","NB.visibility.2","NB.dem.mem","NB.gov.depth","NB.og.norm"
"1","IAEA",1957,"1950s",3,0,1,1,0,0,0,41,NA,NA,NA,0.730151762677379,5,NA,NA,0.392156862745098,1,NA
"2","IAEA",1958,"1950s",5,0,1,1,13,19,13,57,NA,19643906.451992,0.667364642536644,0.718961478021362,5,NA,NA,0.355932203389831,1,0.019302293097212
"3","IAEA",1959,"1950s",5,0,1,1,9,13,1,73,0.0262200956937799,30282832.9662687,0.593875598086124,0.722073499042584,5,NA,NA,0.344262295081967,1,0.0092410862295722
"4","IAEA",1960,"1950s",4,0,1,1,12,17,5,63,0.0314906725996919,33401932.201452,0.565120657196646,0.731490227226719,5,NA,NA,0.369230769230769,1,0
"5","IAEA",1961,"1960s",1,0,1,1,14,22,2,49,0.0413424124513619,34875042.4064232,0.542315175097276,0.73556261808551,5,NA,NA,0.338235294117647,1,0.0037152086962422
"6","IAEA",1962,"1960s",0,0,1,1,12,21,0,58,0.0415269126337646,34971792.4370217,0.558536974924134,0.736439126116052,5,NA,NA,0.328571428571429,1,0.027084263720667
"7","IAEA",1963,"1960s",0,0,1,1,10,17,0,64,0.0333901192504259,40527478.5970726,0.583713798977853,0.747729419631804,5,NA,NA,0.302631578947368,1,0.003229296829943
"8","IAEA",1964,"1960s",1,0,1,1,10,17,0,83,0.0298878366579354,40496654.517761,0.594062730875143,0.755381022589003,5,NA,NA,0.3,1,0.00651193488021562
"9","IAEA",1965,"1960s",0,0,1,1,4,14,0,75,0.0268959435626102,42403846.1538462,0.588183421516755,0.770581825440446,5,NA,NA,0.317647058823529,1,0
"10","IAEA",1966,"1960s",0,0,1,1,7,12,0,54,0.0267612076852699,45432817.2087707,0.584286367795059,0.776970039633672,5,NA,NA,0.298850574712644,1,0
"11","IAEA",1967,"1960s",0,0,1,1,7,10,0,72,0.016857188010325,47924766.4731129,0.596955170415635,0.783237963692805,5,NA,NA,0.288888888888889,1,0.0365404934088431
"12","IAEA",1968,"1960s",0,0,1,1,9,13,0,48,0.0206165887181445,50743449.4115368,0.590579364321848,0.78364647110069,5,NA,NA,0.311111111111111,1,0.0409452782790254
"13","IAEA",1969,"1960s",1,0,1,1,8,14,0,61,0.0183094836014576,51936481.5584176,0.611856723846769,0.786202026510058,5,NA,NA,0.301075268817204,1,0.00965549085130135
"14","IAEA",1970,"1960s",0,0,1,1,7,12,0,80,0.0198367346938776,53716290.2872177,0.54254693877551,0.779745293383499,5,NA,NA,0.308510638297872,2,0.0163553692811291
"15","IAEA",1971,"1970s",0,0,1,1,6,8,1,79,0.0201421105173528,71060757.8033717,0.599958893652005,0.776823041621935,5,NA,NA,0.287234042553192,2,0.00235225644518167
"16","IAEA",1972,"1970s",0,0,1,1,4,4,0,82,0.00936082067468929,81087782.4435113,0.619362793450385,0.776277300212221,5,NA,NA,0.294736842105263,2,0.0182898331202441
"17","IAEA",1973,"1970s",0,0,1,1,5,7,0,72,0.0129847265410646,82940150.1934309,0.613494603987562,0.779132431607075,5,NA,NA,0.3125,2,0.00698835059265157
"18","IAEA",1974,"1970s",0,0,1,1,5,6,0,79,0.012383982490982,85866917.2408993,0.626352693227415,0.776415225584169,5,NA,NA,0.309278350515464,2,0.0235705624462845
"19","IAEA",1975,"1970s",0,0,2,1,4,7,0,103,0.0126529202841358,112998885.172798,0.578754651031683,0.775008465515603,5,NA,NA,0.319587628865979,2,0
"20","IAEA",1976,"1970s",0,0,2,1,5,7,2,80,0.0140224727919632,115414112.74495,0.708751046462955,0.777062296296326,5,NA,NA,0.323232323232323,2,0.01123566933936
"21","IAEA",1977,"1970s",0,0,2,1,8,15,2,91,0.0139869222500896,126961021.237881,0.690292457900394,0.776715384428753,5,15,0,0.313131313131313,2,0.00224713386787201
